entry_idx,group_idx,subdir_name,entry_name
0,0,collection_0,r0_s0
1,0,collection_0,r0_s1
2,0,collection_0,r0_s2
3,0,collection_0,r0_s3
4,0,collection_0,r0_s4
5,1,collection_0,r1_s0
6,1,collection_0,r1_s1
7,1,collection_0,r1_s2
8,1,collection_0,r1_s3
9,1,collection_0,r1_s4
10,2,collection_0,r2_s0
11,2,collection_0,r2_s1
12,2,collection_0,r2_s2
13,2,collection_0,r2_s3
14,2,collection_0,r2_s4
15,3,collection_0,r3_s0
16,3,collection_0,r3_s1
17,3,collection_0,r3_s2
18,3,collection_0,r3_s3
19,3,collection_0,r3_s4
20,4,collection_0,r4_s0
21,4,collection_0,r4_s1
22,4,collection_0,r4_s2
23,4,collection_0,r4_s3
24,4,collection_0,r4_s4
25,5,collection_0,r5_s0
26,5,collection_0,r5_s1
27,5,collection_0,r5_s2
28,5,collection_0,r5_s3
29,5,collection_0,r5_s4
30,6,collection_0,r6_s0
31,6,collection_0,r6_s1
32,6,collection_0,r6_s2
33,6,collection_0,r6_s3
34,6,collection_0,r6_s4
35,7,collection_0,r7_s0
36,7,collection_0,r7_s1
37,7,collection_0,r7_s2
38,7,collection_0,r7_s3
39,7,collection_0,r7_s4
40,8,collection_0,r8_s0
41,8,collection_0,r8_s1
42,8,collection_0,r8_s2
43,8,collection_0,r8_s3
44,8,collection_0,r8_s4
45,9,collection_0,r9_s0
46,9,collection_0,r9_s1
47,9,collection_0,r9_s2
48,9,collection_0,r9_s3
49,9,collection_0,r9_s4
50,10,collection_1,r0_s0
51,10,collection_1,r0_s1
52,10,collection_1,r0_s2
53,10,collection_1,r0_s3
54,10,collection_1,r0_s4
55,11,collection_1,r1_s0
56,11,collection_1,r1_s1
57,11,collection_1,r1_s2
58,11,collection_1,r1_s3
59,11,collection_1,r1_s4
60,12,collection_1,r2_s0
61,12,collection_1,r2_s1
62,12,collection_1,r2_s2
63,12,collection_1,r2_s3
64,12,collection_1,r2_s4
65,13,collection_1,r3_s0
66,13,collection_1,r3_s1
67,13,collection_1,r3_s2
68,13,collection_1,r3_s3
69,13,collection_1,r3_s4
70,14,collection_1,r4_s0
71,14,collection_1,r4_s1
72,14,collection_1,r4_s2
73,14,collection_1,r4_s3
74,14,collection_1,r4_s4
75,15,collection_1,r5_s0
76,15,collection_1,r5_s1
77,15,collection_1,r5_s2
78,15,collection_1,r5_s3
79,15,collection_1,r5_s4
80,16,collection_1,r6_s0
81,16,collection_1,r6_s1
82,16,collection_1,r6_s2
83,16,collection_1,r6_s3
84,16,collection_1,r6_s4
85,17,collection_1,r7_s0
86,17,collection_1,r7_s1
87,17,collection_1,r7_s2
88,17,collection_1,r7_s3
89,17,collection_1,r7_s4
90,18,collection_1,r8_s0
91,18,collection_1,r8_s1
92,18,collection_1,r8_s2
93,18,collection_1,r8_s3
94,18,collection_1,r8_s4
95,19,collection_1,r9_s0
96,19,collection_1,r9_s1
97,19,collection_1,r9_s2
98,19,collection_1,r9_s3
99,19,collection_1,r9_s4
